pm2_5,pm10,co,no2,so2,o3,temp,humidity,pressure,wind_speed,aqi_label
60.09,63.43,677.2,1.49,1.78,131.96,33.96,49,1007,5.14,poor
86.74,98.1,699.32,4.87,5.52,180.34,31.12,77,1007,4.63,very_poor
60.09,63.43,677.2,1.49,1.78,131.96,33.02,55,1007,5.14,poor
12.45,14.44,139.75,5.0,2.6,93.39,9.59,89,1025,3.09,fair
23.41,34.3,154.77,2.12,2.46,121.03,10.87,76,1022,6.69,moderate
21.13,27.26,147.46,1.54,1.88,119.14,11.97,82,1022,3.44,moderate
8.19,25.01,114.19,1.97,1.94,102.83,20.95,22,1012,0.45,moderate
21.67,53.82,128.51,5.73,4.14,94.55,20.1,56,1011,2.57,moderate
19.4,25.23,134.24,7.73,6.08,89.34,19.61,64,1013,2.06,fair
9.33,10.83,139.43,4.75,1.03,86.96,8.88,81,1027,4.63,fair
50.71,105.21,184.88,1.43,7.7,99.88,34.01,62,1007,5.66,poor
50.87,121.78,205.33,1.32,4.19,138.22,39.03,18,1003,2.57,poor
29.35,35.74,231.13,2.88,3.53,103.01,33.64,35,1008,5.36,moderate
40.73,153.5,131.79,0.56,2.56,134.45,26.95,36,1011,5.14,poor
38.49,161.15,187.27,2.63,7.36,112.83,22.9,59,1012,1.79,poor
32.41,138.01,168.87,6.03,20.07,121.02,21.85,46,1012,6.17,poor
4.92,10.46,127.96,2.64,3.6,114.29,19.84,14,1015,8.75,moderate
5.18,17.49,108.83,0.65,0.78,115.74,25.08,38,1013,2.06,moderate
14.58,19.55,251.54,12.85,1.93,87.36,20.77,13,1013,2.45,fair
0.5,0.8,132.33,0.09,0.04,110.05,5.88,81,1028,1.54,moderate
0.5,0.8,132.33,0.09,0.04,110.05,4.97,70,1027,2.82,moderate
0.5,0.8,132.33,0.09,0.04,110.05,5.06,78,1028,2.87,moderate
3.52,5.28,139.16,0.65,0.74,123.22,13.71,48,1020,2.57,moderate
4.55,6.09,170.98,4.32,1.17,86.7,15.41,75,1018,2.06,fair
3.18,4.56,133.03,0.78,1.03,127.8,15.39,38,1019,2.57,moderate
9.59,11.16,147.18,2.51,0.92,90.85,12.7,72,1022,6.69,fair
1.06,2.33,104.98,0.26,0.14,54.1,25.53,78,1013,4.63,good
1.15,2.46,106.84,0.24,0.13,54.03,23.13,95,1013,4.12,good
1.15,2.46,106.84,0.24,0.13,54.03,23.3,95,1013,4.12,good
8.87,20.46,125.78,4.29,3.3,109.75,19.05,20,1013,2.06,moderate
7.16,19.15,125.88,3.48,2.78,118.65,20.23,22,1012,1.33,moderate
11.42,25.44,139.45,8.73,4.52,102.51,19.26,36,1012,1.86,moderate
12.95,18.48,169.61,13.01,10.35,133.63,17.91,59,1013,6.69,moderate
12.16,18.55,162.38,9.87,9.17,134.4,17.65,63,1014,6.69,moderate
10.64,14.76,168.74,6.01,4.25,139.66,21.05,34,1011,6.97,moderate
0.5,0.6,79.09,0.29,0.07,33.67,18.93,72,1014,1.54,good
3.65,9.44,154.81,1.18,0.26,23.76,22.1,69,1011,1.99,good
3.35,4.77,137.96,0.64,0.27,27.48,26.23,89,1011,3.6,good
4.01,4.1,106.89,0.77,0.45,108.77,21.11,51,1016,3.37,moderate
1.31,1.61,85.57,0.02,0.2,71.66,22.51,49,1016,3.0,fair
1.18,1.56,99.36,0.16,0.22,86.15,22.28,52,1015,1.12,fair
14.72,17.21,192.85,1.0,0.93,93.52,39.35,26,1005,3.82,fair
7.04,9.95,138.71,0.33,0.36,67.44,38.27,27,1005,3.51,fair
6.72,8.42,135.15,0.32,0.13,65.74,37.49,34,1005,4.38,fair
0.5,1.51,70.35,0.01,0.03,7.93,28.84,73,1009,3.55,good
3.55,8.66,75.44,0.04,0.18,30.63,31.0,58,1012,5.14,good
3.03,7.83,75.2,0.04,0.17,29.3,28.5,67,1011,2.02,good
4.31,9.44,78.61,0.04,0.18,31.23,28.2,72,1011,4.47,good
25.19,29.35,232.77,4.75,4.34,137.9,24.82,15,1014,5.54,moderate
14.47,19.9,187.41,1.18,6.37,141.5,13.08,57,1018,3.95,poor
25.71,29.99,231.68,3.32,1.65,130.41,20.59,30,1015,5.37,moderate
20.56,24.58,257.75,21.13,3.48,98.22,24.76,22,1015,5.14,fair
6.93,13.79,164.54,0.79,1.73,140.88,20.95,32,1016,4.12,poor
25.32,29.38,260.39,17.31,3.06,98.91,25.92,14,1015,3.09,moderate
72.89,338.91,171.0,0.97,2.16,146.27,27.05,29,1012,3.32,very_poor
