temp,humidity,wind,pressure,pm2_5,pm10,co,no2,o3,so2,nh3,aqi
28.3,83,1.79,1008,0.5,0.54,94.64,1.17,17.17,0.78,0.0,1
25.34,86,4.62,1011,3.01,4.25,102.94,0.28,34.01,0.12,0.09,1
23.03,97,1.16,1011,6.31,12.04,110.27,0.5,35.8,0.22,0.12,1
25.86,89,3.99,1010,1.66,2.71,104.1,0.31,26.25,0.1,0.11,1
12.84,69,4.95,1023,0.66,0.97,93.15,1.33,37.11,0.34,0.31,1
12.85,71,3.58,1023,1.36,2.38,101.35,1.23,38.77,0.37,0.54,1
12.49,67,0.95,1023,0.5,0.51,88.5,1.21,39.59,0.17,0.18,1
6.03,73,4.12,1009,0.73,1.39,134.46,1.82,84.9,1.0,1.27,2
7.18,61,2.06,1010,1.49,2.33,133.87,1.56,87.26,0.75,1.39,2
7.01,78,3.2,1011,3.95,5.13,147.46,5.03,80.15,2.22,1.02,2
8.52,72,3.09,1023,29.48,32.11,187.5,8.22,70.23,2.63,5.28,3
9.1,71,4.19,1023,28.13,30.41,179.88,6.86,69.75,2.27,7.63,3
9.04,68,3.09,1023,28.77,31.14,182.5,7.25,68.35,2.29,7.1,3
7.79,75,2.57,1007,1.24,2.21,134.32,1.66,82.47,0.64,0.96,2
